table,outcome,orig_ste,my_ste,orig_ste_n,my_ste_n,orig_iv,my_iv,orig_iv_n,my_iv_n,ste_same_sign,iv_same_sign,ste_n_diff,iv_n_diff
Table 3 (All FBS),alumni_ops_athletics,191.2,191.243285153737,616,616,136.4,131.00902169841203,637,637,True,True,0,0
Table 3 (All FBS),alum_non_athl_ops,-137.4,-137.4120067572035,616,616,227.9,227.17822433714284,637,637,True,True,0,0
Table 3 (All FBS),alumni_total_giving,267.4,267.3785476727971,1258,1258,311.9,278.76745914007614,1264,1264,True,True,0,0
Table 3 (All FBS),vse_alum_giving_rate,0.0002,0.0001939957230493,1287,1287,-0.0001,-0.0001760880396069,1293,1293,True,True,0,0
Table 3 (All FBS),usnews_academic_rep_new,0.003,0.0033771076117433,650,650,0.004,0.0036292517217255,669,669,True,True,0,0
Table 3 (All FBS),applicants,81.1,81.10254154138272,528,528,135.3,134.37337243369413,533,533,True,True,0,0
Table 3 (All FBS),acceptance_rate,-0.003,-0.0033305581842179573,979,979,-0.003,-0.0030221926040349288,967,967,True,True,0,0
Table 3 (All FBS),firsttime_outofstate,1.6,1.600344473820749,962,962,-0.4,-0.5393164414601982,1038,1038,True,True,0,0
Table 3 (All FBS),first_time_instate,12.6,12.570206111568416,962,962,15.2,14.85507203256861,1038,1038,True,True,0,0
Table 3 (All FBS),sat_25,0.8,0.8365767663871535,426,425,1.8,1.9352136960587176,431,430,True,True,-1,-1
Table 4 (BCS),alumni_ops_athletics,245.8,245.7843678407506,341,341,190.7,165.6154641710158,353,353,True,True,0,0
Table 4 (BCS),alum_non_athl_ops,-183.9,-183.8868845161625,341,341,537.1,540.9821979312679,353,353,True,True,0,0
Table 4 (BCS),alumni_total_giving,398.9,398.94265240917554,795,795,670.9,612.3929860869315,796,796,True,True,0,0
Table 4 (BCS),vse_alum_giving_rate,0.0007,0.0006811176509281,807,807,0.0,7.146949005522289e-05,805,805,True,False,0,0
Table 4 (BCS),usnews_academic_rep_new,0.003,0.0033232771005961,453,453,0.004,0.0043465427070198,457,457,True,True,0,0
Table 4 (BCS),applicants,56.9,56.90289669114945,312,312,79.4,72.97138458649252,312,312,True,True,0,0
Table 4 (BCS),acceptance_rate,-0.005,-0.004888644510009908,658,658,-0.003,-0.0034674899545430048,642,642,True,True,0,0
Table 4 (BCS),firsttime_outofstate,10.8,10.813182312250056,571,571,2.1,1.8371622193610253,623,623,True,True,0,0
Table 4 (BCS),first_time_instate,14.5,14.504286691927982,571,571,13.8,11.518819449164312,623,623,True,True,0,0
Table 4 (BCS),sat_25,0.5,0.4959016287107104,270,270,0.7,0.5659839476229692,268,268,True,True,0,0
Table 5 (Non-BCS),alumni_ops_athletics,40.1,39.37546009899465,275,274,8.6,8.718313667148523,288,288,True,True,-1,0
Table 5 (Non-BCS),alum_non_athl_ops,-24.1,-22.20890773148619,275,274,49.4,39.83558484842934,288,288,True,True,-1,0
Table 5 (Non-BCS),alumni_total_giving,-26.2,-21.58031373357424,463,462,-260.1,-277.4673358359988,478,478,True,True,-1,0
Table 5 (Non-BCS),vse_alum_giving_rate,-0.0006,-0.0006540005623378,480,479,-0.0003,-0.0002832429336878,495,495,True,True,-1,0
Table 5 (Non-BCS),usnews_academic_rep_new,0.002,0.0015733203213682,197,197,0.004,0.0035678541309945,214,204,True,True,0,-10
Table 5 (Non-BCS),applicants,48.2,48.18215656984731,216,216,96.3,82.51634014222739,226,215,True,True,0,-11
Table 5 (Non-BCS),acceptance_rate,-0.001,-0.0007326000352203781,321,321,-0.001,-0.000730333366883871,335,335,True,True,0,0
Table 5 (Non-BCS),firsttime_outofstate,-14.1,-14.061607550666906,391,391,-3.2,-3.5983191711553504,428,428,True,True,0,0
Table 5 (Non-BCS),first_time_instate,-2.4,-2.392752330254184,391,391,17.8,19.589890496444664,428,428,True,True,0,0
Table 5 (Non-BCS),sat_25,1.3,1.3465513255236743,156,155,1.9,1.8557560093572076,166,151,True,True,-1,-15
Table 6 (Weeks 5+),alumni_ops_athletics,110.4,110.36899404796564,374,374,141.6,137.01196179104602,637,637,True,True,0,0
Table 6 (Weeks 5+),alum_non_athl_ops,216.6,216.56597242341445,374,374,194.9,186.76638760381317,637,637,True,True,0,0
Table 6 (Weeks 5+),alumni_total_giving,266.7,266.7149663474061,787,787,579.8,521.7475199637388,1264,1264,True,True,0,0
Table 6 (Weeks 5+),vse_alum_giving_rate,0.0016,0.0016051831698057,810,810,0.0,1.3970886662141608e-05,1293,1293,True,False,0,0
Table 6 (Weeks 5+),usnews_academic_rep_new,0.003,0.0025661890337919,390,390,0.004,0.0038343800356761,669,669,True,True,0,0
Table 6 (Weeks 5+),applicants,40.0,39.97856933339936,320,320,119.9,122.7899421253472,533,533,True,True,0,0
Table 6 (Weeks 5+),acceptance_rate,-0.005,-0.004644641338372359,630,630,-0.002,-0.002438733777023387,967,967,True,True,0,0
Table 6 (Weeks 5+),firsttime_outofstate,7.4,7.379614808110173,604,604,-2.8,-3.015956549137821,1038,1038,True,True,0,0
Table 6 (Weeks 5+),first_time_instate,28.3,28.2932474764931,604,604,15.4,14.332860234259105,1038,1038,True,True,0,0
Table 6 (Weeks 5+),sat_25,1.7,1.667765309325359,252,251,1.9,1.9814223120267929,431,430,True,True,-1,-1
