outcome,label,coef_iv,se_iv,N_iv,pval_iv,coef_ste,se_ste,N_ste,pval_ste
alumni_ops_athletics,Alumni Athletic Operating Donations,165615.46417101577,75425.35201828173,353,0.028109607253433477,245784.3678407506,100017.97575199584,341,0.013994601017845337
alum_non_athl_ops,Alumni Nonathletic Operating Donations,540982.1979312679,304673.15424430394,353,0.07579640938570176,-183886.88451616254,151609.56048234543,341,0.2251689419022309
alumni_total_giving,Total Alumni Donations,612392.9860869315,448466.48376921035,796,0.1720875472132919,398942.6524091755,404067.9667839348,795,0.3234878903760059
vse_alum_giving_rate,Alumni Giving Rate,7.146949005522289e-05,0.0007207754811607982,805,0.9210141050248208,0.0006811176509281448,0.0008569133601814652,807,0.4267007168480076
usnews_academic_rep_new,Academic Reputation,0.0043465427070198985,0.0019222736876924043,457,0.023750177526829397,0.0033232771005961646,0.0016996157967837972,453,0.050546398803470824
applicants,Applicants,72.97138458649252,68.79996525310865,312,0.2888575715584747,56.90289669114945,73.7184119985952,312,0.4401764336502817
acceptance_rate,Acceptance Rate,-0.3467489954543005,0.1774904427821643,642,0.050746095823778425,-0.4888644510009908,0.18813502087620315,658,0.009363842455299556
firsttime_outofstate,First-Time Out-of-State Enrollment,1.8371622193610253,5.183849017375494,623,0.7230382488254361,10.813182312250055,5.214686231343358,571,0.03811631580746073
first_time_instate,First-Time In-State Enrollment,11.518819449164312,8.431029353021739,623,0.17186327774961807,14.504286691927982,6.385825189091425,571,0.023127289171551563
sat_25,25th Percentile SAT,0.5659839476229692,0.7310360416914616,268,0.4387997135077124,0.4959016287107104,0.6455630938962377,270,0.4423867214288204
